Object ID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, not Hispanic or Latino Population","White alone, not Hispanic or Latino Population - Margin of Error","Black or African American Alone, Not Hispanic or Latino Population","Black or African American Alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native Alone, Not Hispanic or Latino Population","American Indian and Alaska Native Alone, Not Hispanic or Latino Population - Margin of Error","Asian Alone, Not Hispanic or Latino Population","Asian Alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race Alone, Not Hispanic or Latino Population","Some Other Race Alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, not Hispanic or Latino","Percent of Population that is White alone, not Hispanic or Latino - Margin of Error","Percent of Population that is Black or African American Alone, Not Hispanic or Latino","Percent of Population that is Black or African American Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Asian Alone, Not Hispanic or Latino","Percent of Population that is Asian Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Two or More Races, Not Hispanic or Latino","Percent of Population that is Two or More Races, Not Hispanic or Latino - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Population that is not Hispanic or Latino,Population that is not Hispanic or Latino - Margin of Error,"Two races including some other race, not Hispanic or Latino","Two races including some other race, not Hispanic or Latino - Margin of Error","Two races excluding some other race, and three or more races, not Hispanic or Latino","Two races excluding some other race, and three or more races, not Hispanic or Latino - Margin of Error","White alone, Hispanic or Latino","White alone, Hispanic or Latino - Margin of Error","Black or African American alone, Hispanic or Latino","Black or African American alone, Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Hispanic or Latino","American Indian and Alaska Native alone, Hispanic or Latino - Margin of Error","Asian alone, Hispanic or Latino","Asian alone, Hispanic or Latino - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone, Hispanic or Latino - Margin of Error","Some other race alone, Hispanic or Latino","Some other race alone, Hispanic or Latino - Margin of Error","Two or more races, Hispanic or Latino","Two or more races, Hispanic or Latino - Margin of Error","Two races including some other race, Hispanic or Latino","Two races including some other race, Hispanic or Latino - Margin of Error","Two races excluding some other race, and three or more races, Hispanic or Latino","Two races excluding some other race, and three or more races, Hispanic or Latino - Margin of Error",Shape__Area,Shape__Length,Place Name,Place FIPS
101,39035120802,637493,0,Census Tract 1208.02,Ohio,Cuyahoga County,2083,741,9,7,1914,703,0,12,7,12,0,12,0,12,12,16,141,191,0.4,0.298843673712977,91.9,8.39939597468999,0,0.57609217474796,0.3,0.563551925468579,0,0.57609217474796,0,0.57609217474796,0.6,0.740279346351349,6.8,8.84763255343208,1942,700,12,16,0,12,0,12,0,12,0,12,0,12,0,12,0,12,141,191,0,12,141,191,1135989.1953125,4714.38186898168,Cleveland city,16000
102,39035121100,668112,0,Census Tract 1211,Ohio,Cuyahoga County,1783,518,4,2,1774,519,0,12,0,12,0,12,0,12,5,10,0,12,0.2,0.0912925100850428,99.5,3.42945901693391,0,0.673022994952328,0,0.673022994952328,0,0.673022994952328,0,0.673022994952328,0.3,0.554903758012901,0,0.673022994952328,1783,518,0,12,5,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1190370.65234375,4436.41088675775,Cleveland city,16000
103,39035121200,462509,0,Census Tract 1212,Ohio,Cuyahoga County,1229,327,31,50,1161,315,0,12,0,12,0,12,37,43,0,12,0,12,2.5,4.01261062490526,94.5,5.0166650676436,0,0.976403580146461,0,0.976403580146461,0,0.976403580146461,3,3.40585055022644,0,0.976403580146461,0,0.976403580146461,1229,327,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,824026.6875,3797.30612274488,Cleveland city,16000
104,39035121300,1330164,0,Census Tract 1213,Ohio,Cuyahoga County,2041,574,87,66,1651,382,0,12,0,12,0,12,303,417,0,12,0,12,4.3,3.00329199686361,80.9,29.4591724201953,0,0.587947084762371,0,0.587947084762371,0,0.587947084762371,14.8,20.0000189244172,0,0.587947084762371,0,0.587947084762371,2041,574,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2369340.87890625,6828.22691470569,Cleveland city,16000
105,39035121401,782362,0,Census Tract 1214.01,Ohio,Cuyahoga County,1516,283,25,29,1433,258,0,12,0,12,0,12,0,12,58,67,0,12,1.6,1.88799620481853,94.5,24.5151452053878,0,0.79155672823219,0,0.79155672823219,0,0.79155672823219,0,0.79155672823219,3.8,4.36143659134534,0,0.79155672823219,1516,283,0,12,58,67,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1393671.58984375,6666.72614281976,Cleveland city,16000
106,39035121403,1026874,0,Census Tract 1214.03,Ohio,Cuyahoga County,2353,599,28,35,2154,579,20,26,0,12,0,12,0,12,10,17,141,143,1.2,1.4562896620097,91.5,7.90106816803391,0.8,1.08357950424935,0,0.509987250318742,0,0.509987250318742,0,0.509987250318742,0.4,0.714335564292936,6,5.88278147160137,2212,581,10,17,0,12,0,12,24,40,0,12,0,12,0,12,0,12,117,112,0,12,117,112,1828953.86328125,8348.06036387212,Cleveland city,16000
107,39035121500,879326,0,Census Tract 1215,Ohio,Cuyahoga County,2189,524,85,107,1996,492,0,12,0,12,0,12,27,44,74,92,7,13,3.9,4.79888393830443,91.2,5.36093914362996,0,0.548195523069895,0,0.548195523069895,0,0.548195523069895,1.2,1.98824645895297,3.4,4.12419058676949,0.3,0.58892440084523,2182,523,0,12,74,92,7,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1566444.6796875,5155.98512304821,Cleveland city,16000
108,39035121700,1212821,0,Census Tract 1217,Ohio,Cuyahoga County,4899,891,13,15,4782,898,0,12,0,12,0,12,33,53,71,82,0,12,0.3,0.302357379534285,97.6,4.56386998218723,0,0.244947948560931,0,0.244947948560931,0,0.244947948560931,0.7,1.07489432190135,1.4,1.65292649458367,0,0.244947948560931,4899,891,22,35,49,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2160857.421875,6279.2180202739,Cleveland city,16000
109,39035121800,665199,0,Census Tract 1218,Ohio,Cuyahoga County,1519,266,0,12,1453,246,0,12,0,12,0,12,0,12,20,28,46,71,0,0.789993416721527,95.7,23.2993128544863,0,0.789993416721527,0,0.789993416721527,0,0.789993416721527,0,0.789993416721527,1.3,1.82884123593229,3,4.64394754939951,1473,246,0,12,20,28,0,12,0,12,0,12,0,12,0,12,0,12,46,71,46,71,0,12,1185175.32421875,4337.75440450306,Cleveland city,16000
110,39035121900,716264,0,Census Tract 1219,Ohio,Cuyahoga County,951,288,36,53,915,292,0,12,0,12,0,12,0,12,0,12,0,12,3.8,5.45389878543395,96.2,9.68363132556714,0,1.26182965299685,0,1.26182965299685,0,1.26182965299685,0,1.26182965299685,0,1.26182965299685,0,1.26182965299685,951,288,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1275837.05078125,4777.05652834036,Cleveland city,16000
111,39035122100,1615047,0,Census Tract 1221,Ohio,Cuyahoga County,3058,427,45,67,2830,465,0,12,11,18,0,12,16,26,76,64,80,124,1.5,2.18131795075021,92.5,8.01482862878903,0,0.39241334205363,0.4,0.58647307794614,0,0.39241334205363,0.5,0.847084174388957,2.5,2.06389925799744,2.6,4.038450344401,2978,467,0,12,76,64,80,124,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2876754.8828125,7575.30467969495,Cleveland city,16000
112,39035122200,1882310,0,Census Tract 1222,Ohio,Cuyahoga County,1900,351,82,66,1711,340,0,12,0,12,0,12,44,40,43,66,20,34,4.3,3.38094929202868,90.1,6.59270963412053,0,0.631578947368421,0,0.631578947368421,0,0.631578947368421,2.3,2.06133698591582,2.3,3.44843209028961,1.1,1.7788764542605,1880,349,13,21,30,45,0,12,20,34,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3351835.0234375,9388.25076189248,Cleveland city,16000
113,39035122300,1541653,0,Census Tract 1223,Ohio,Cuyahoga County,1745,334,0,12,1745,334,0,12,0,12,0,12,0,12,0,12,0,12,0,0.687679083094556,100,27.0686148901211,0,0.687679083094556,0,0.687679083094556,0,0.687679083094556,0,0.687679083094556,0,0.687679083094556,0,0.687679083094556,1745,334,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2744881.046875,7148.51761663784,Cleveland city,16000
114,39035123100,1180857,0,Census Tract 1231,Ohio,Cuyahoga County,2656,398,2357,358,61,50,0,12,0,12,0,12,0,12,137,122,101,74,88.7,2.2009573182725,2.3,1.85080402190405,0,0.451807228915663,0,0.451807228915663,0,0.451807228915663,0,0.451807228915663,5.2,4.52787357299378,3.8,2.72724969603488,2555,390,0,12,137,122,18,34,0,12,0,12,0,12,0,12,0,12,83,68,83,68,0,12,2104682.45703125,6308.7445547228,Cleveland city,16000
115,39035123200,1425415,0,Census Tract 1232,Ohio,Cuyahoga County,2729,378,2317,421,65,57,9,11,211,281,0,12,0,12,32,36,95,89,84.9,9.98445482605852,2.4,2.06245737196776,0.3,0.400481262319421,7.7,10.2409674580551,0,0.439721509710517,0,0.439721509710517,1.2,1.30912771781923,3.5,3.22542577745346,2634,375,0,12,32,36,79,79,0,12,0,12,0,12,0,12,16,27,0,12,0,12,0,12,2540520.16015625,7770.02917245806,Cleveland city,16000
116,39035123400,2520834,0,Census Tract 1234,Ohio,Cuyahoga County,3294,435,2864,409,39,44,0,12,98,81,0,12,0,12,27,27,266,180,86.9,4.72599324577161,1.2,1.32657973225304,0,0.364298724954463,3,2.42742684428799,0,0.364298724954463,0,0.364298724954463,0.8,0.812493403782949,8.1,5.35941448130428,3028,423,0,12,27,27,65,67,0,12,0,12,0,12,0,12,57,63,144,145,144,145,0,12,4492091.23828125,13795.4263999154,Cleveland city,16000
117,39035123501,2025152,0,Census Tract 1235.01,Ohio,Cuyahoga County,3392,562,1728,385,597,190,0,12,12,25,0,12,0,12,276,216,779,344,50.9,7.5885275566654,17.6,4.78250426911707,0,0.35377358490566,0.4,0.734693844645323,0,0.35377358490566,0,0.35377358490566,8.1,6.22358354058961,23,9.40062197624362,2613,482,0,12,276,216,176,118,38,51,45,71,0,12,0,12,372,270,148,116,148,116,0,12,3609334.4296875,8645.70644383025,Cleveland city,16000
118,39035123502,753608,0,Census Tract 1235.02,Ohio,Cuyahoga County,2670,490,1704,366,523,298,3,5,206,219,0,12,0,12,111,84,123,183,63.8,7.12228824519149,19.6,10.5662855471296,0.1,0.186127180850722,7.7,8.07910951180518,0,0.449438202247191,0,0.449438202247191,4.2,3.05215436243571,4.6,6.80159074385699,2547,500,0,12,111,84,111,183,12,19,0,12,0,12,0,12,0,12,0,12,0,12,0,12,1342842.3515625,5580.14278444575,Cleveland city,16000
119,39035123601,1276781,0,Census Tract 1236.01,Ohio,Cuyahoga County,3151,556,2576,337,27,32,6,12,38,58,0,12,27,41,0,12,477,441,81.8,17.9574973380216,0.9,1.00423238178748,0.2,0.379346424711647,1.2,1.82834388223429,0,0.380831482069184,0.9,1.29235985508934,0,0.380831482069184,15.1,13.7382908437643,2674,331,0,12,0,12,69,51,0,12,0,12,0,12,0,12,19,30,389,437,99,104,290,344,2273862.421875,7310.77251413899,Cleveland city,16000
120,39035123602,2293820,0,Census Tract 1236.02,Ohio,Cuyahoga County,3093,884,1967,345,295,183,0,12,173,141,0,12,0,12,546,798,112,67,63.6,21.3256009457984,9.5,5.25121914066653,0,0.387972841901067,5.6,4.26919952541564,0,0.387972841901067,0,0.387972841901067,17.7,25.3020786414387,3.6,1.90296233863011,2981,893,7,11,539,798,76,69,24,40,0,12,0,12,0,12,7,10,5,9,5,9,0,12,4085252.25390625,11231.3803508291,Cleveland city,16000
121,39035123603,1599584,0,Census Tract 1236.03,Ohio,Cuyahoga County,2618,224,2139,197,71,47,0,12,90,121,0,12,0,12,55,64,263,148,81.7,2.78449451490115,2.7,1.7802043816181,0,0.458365164247517,3.4,4.61247965465498,0,0.458365164247517,0,0.458365164247517,2.1,2.4379967584683,10,5.58744410025184,2355,220,0,12,55,64,78,91,0,12,0,12,0,12,0,12,65,55,120,114,120,114,0,12,2849492.25390625,9941.38859915137,Cleveland city,16000
122,39035123700,3490713,0,Census Tract 1237,Ohio,Cuyahoga County,2631,310,1749,352,456,349,0,12,141,144,0,12,0,12,75,63,210,201,66.5,10.8464470053225,17.3,13.1067819906276,0,0.456100342075257,5.4,5.43665649175477,0,0.456100342075257,0,0.456100342075257,2.9,2.37085315865508,8,7.58157377211702,2421,349,0,12,75,63,59,107,0,12,0,12,0,12,0,12,53,66,98,145,71,104,27,44,6214303.734375,12683.8313642538,Cleveland city,16000
123,39035123800,1325019,0,Census Tract 1238,Ohio,Cuyahoga County,2452,435,519,63,1062,298,0,12,179,185,0,12,0,12,174,230,518,220,21.2,4.5499297177065,43.3,9.41614920409372,0,0.489396411092985,7.3,7.43287721106811,0,0.489396411092985,0,0.489396411092985,7.1,9.29523322689283,21.1,8.15202253189018,1934,437,8,12,166,230,34,40,205,113,0,12,0,12,0,12,68,64,211,191,181,185,30,46,2358837.3125,7116.18987804082,Cleveland city,16000
124,39035123900,853152,0,Census Tract 1239,Ohio,Cuyahoga County,3052,608,2154,587,101,93,0,12,0,12,0,12,0,12,19,20,778,264,70.6,13.1240418450693,3.3,2.97501212238742,0,0.393184796854522,0,0.393184796854522,0,0.393184796854522,0,0.393184796854522,0.6,0.64346551031507,25.5,7.00249996886113,2274,571,5,18,14,18,560,109,0,12,0,12,0,12,0,12,21,27,197,231,197,231,0,12,1519996.25390625,5047.65980874334,Cleveland city,16000
125,39035124100,1153278,0,Census Tract 1241,Ohio,Cuyahoga County,5789,1214,3057,1330,741,456,0,17,461,457,0,17,127,198,192,126,1211,243,52.8,20.1295224855473,12.8,7.40552713078261,0,0.293660390395578,8,7.71562332073664,0,0.293660390395578,2.2,3.38919727594817,3.3,2.06242058305134,20.9,6.07163038287266,4578,1233,0,17,192,126,486,241,51,74,0,17,0,17,0,17,360,213,314,157,215,132,99,66,2054822.20703125,5972.19294227253,Cleveland city,16000
126,39035124201,1584070,0,Census Tract 1242.01,Ohio,Cuyahoga County,2405,358,1518,383,242,205,9,15,71,137,0,12,9,36,26,38,530,178,63.1,12.8581975443887,10.1,8.39127301770608,0.4,0.621208019818801,3,5.67948972853172,0,0.498960498960499,0.4,1.4958446281579,1.1,1.57182512309167,22,6.63455674562867,1875,346,25,38,1,3,23,47,33,36,13,22,0,12,0,12,267,164,194,155,194,155,0,12,2821562.3828125,7803.64195245863,Cleveland city,16000
127,39035124202,875939,0,Census Tract 1242.02,Ohio,Cuyahoga County,1591,194,953,139,185,81,0,12,23,34,0,12,0,12,183,121,247,135,59.9,4.79396714400106,11.6,4.88971961496249,0,0.754242614707731,1.4,2.12973824488901,0,0.754242614707731,0,0.754242614707731,11.5,7.47483686534224,15.5,8.27136881044625,1344,209,8,13,175,122,77,46,20,24,0,12,0,12,0,12,32,36,118,96,94,87,24,28,1559805.5703125,5876.004635394,Cleveland city,16000
128,39035124300,1463838,0,Census Tract 1243,Ohio,Cuyahoga County,4318,719,2072,540,783,341,0,12,113,92,0,12,11,19,354,232,985,393,48,9.62043346930073,18.1,7.29714959258385,0,0.277906438165818,2.6,2.08557965822772,0,0.277906438165818,0.3,0.437969139118952,8.2,5.19654522715082,22.8,8.27093396209797,3333,683,28,47,326,229,401,199,11,22,117,183,0,12,0,12,107,111,349,313,334,314,15,25,2607069.5859375,6703.04409229354,Cleveland city,16000
129,39035124500,3557079,13438,Census Tract 1245,Ohio,Cuyahoga County,3791,602,1987,351,487,272,13,20,164,156,0,12,0,12,138,114,1002,431,52.4,4.05589788427494,12.8,6.87878271783189,0.3,0.524747424120328,4.3,4.05726312569974,0,0.316539171722501,0,0.316539171722501,3.6,2.95104010554468,26.4,10.5659189817033,2789,455,32,53,106,99,105,85,133,135,62,71,0,12,0,12,276,314,426,247,346,153,80,117,6356365.50390625,11848.4525364631,Cleveland city,16000
130,39035124600,2822790,0,Census Tract 1246,Ohio,Cuyahoga County,3921,504,2108,427,900,299,0,12,0,12,0,12,23,40,91,75,799,255,53.8,8.41660587141575,23,7.03171842334698,0,0.306044376434583,0,0.306044376434583,0,0.306044376434583,0.6,1.0173577521931,2.3,1.88937134245996,20.4,5.95265396928591,3122,519,10,15,81,74,327,195,27,49,0,12,41,57,0,12,102,73,302,235,284,233,18,30,5025284.9140625,12019.7336810851,Cleveland city,16000
131,39035126100,1775250,0,Census Tract 1261,Ohio,Cuyahoga County,3188,481,273,128,2694,507,0,12,0,12,0,12,0,12,158,146,63,74,8.6,3.80149291725174,84.5,9.50570047866538,0,0.376411543287328,0,0.376411543287328,0,0.376411543287328,0,0.376411543287328,5,4.51821406802657,2,2.30197549491021,3125,491,0,12,158,146,35,52,28,49,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3172306.95703125,8888.3080995261,Cleveland city,16000
132,39035127501,2209363,0,Census Tract 1275.01,Ohio,Cuyahoga County,2393,559,117,89,2199,555,10,13,0,12,0,12,0,12,57,65,10,13,4.9,3.5394725009001,91.9,8.78114703496279,0.4,0.534408729846703,0,0.501462599247806,0,0.501462599247806,0,0.501462599247806,2.4,2.65865457524201,0.4,0.534408729846703,2383,558,0,12,57,65,0,12,10,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12,3936316.09375,10863.7822442709,Cleveland city,16000
133,39035130103,3625054,963540,Census Tract 1301.03,Ohio,Cuyahoga County,4650,550,4276,547,56,50,0,12,26,31,0,12,0,12,124,74,168,111,92,4.48078034271956,1.2,1.06579204133671,0,0.258064516129032,0.6,0.663378195992122,0,0.258064516129032,0,0.258064516129032,2.7,1.55982764046432,3.6,2.3485352508506,4482,559,20,31,104,69,101,92,0,12,12,17,0,12,0,12,0,12,55,58,30,45,25,36,6465664.42578125,11671.8719729098,Bay Village city,04416
134,39035130104,4082459,2406530,Census Tract 1301.04,Ohio,Cuyahoga County,4549,524,4398,536,0,12,0,12,6,11,0,12,0,12,49,59,96,83,96.7,3.84832247288186,0,0.263794240492416,0,0.263794240492416,0.1,0.241333611658304,0,0.263794240492416,0,0.263794240492416,1.1,1.29103964979002,2.1,1.80831050815831,4453,534,0,12,49,59,41,53,0,12,0,12,0,12,0,12,0,12,55,65,55,65,0,12,7280666.71875,12421.7045760904,Bay Village city,04416
135,39035130105,1679751,981449,Census Tract 1301.05,Ohio,Cuyahoga County,3641,446,3315,468,2,3,0,12,8,15,0,12,155,244,125,101,36,58,91,6.39017415475235,0.1,0.0821197503326578,0,0.329579785773139,0.2,0.411094635223685,0,0.329579785773139,4.3,6.68113627759375,3.4,2.74190098623264,1,1.58835808600045,3605,454,0,12,125,101,36,58,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,2995492.4609375,7314.56615569709,Bay Village city,04416
136,39035130106,2437788,2092802,Census Tract 1301.06,Ohio,Cuyahoga County,3207,353,2936,363,48,57,0,12,18,23,0,12,13,19,43,46,149,115,91.5,5.1548871008635,1.5,1.76971017816495,0,0.374181478016838,0.6,0.714515242928448,0,0.374181478016838,0.4,0.590771438278384,1.3,1.42674933513197,4.6,3.54925173271966,3058,374,8,12,35,44,21,28,0,12,23,34,0,12,0,12,19,22,86,86,48,67,38,55,4347068.54296875,10202.3344605145,Bay Village city,04416
137,39035131103,3307633,0,Census Tract 1311.03,Ohio,Cuyahoga County,5278,582,4591,662,111,93,0,17,232,119,0,17,0,17,145,119,199,118,87,8.08199122213083,2.1,1.74670383704436,0,0.322091701402046,4.4,2.20192573461656,0,0.322091701402046,0,0.322091701402046,2.7,2.23419769938969,3.8,2.19669788135605,5079,594,70,108,75,57,97,78,0,17,0,17,0,17,0,17,23,36,79,84,7,11,72,83,5900046.96875,10957.2946665882,Beachwood city,04500
138,39035131104,2449334,18806,Census Tract 1311.04,Ohio,Cuyahoga County,4972,680,3920,698,333,163,0,12,616,355,0,12,0,12,62,68,41,67,78.8,8.98962364760915,6.7,3.14779258067196,0,0.241351568785197,12.4,6.93600948586833,0,0.241351568785197,0,0.241351568785197,1.2,1.35698390780556,0.8,1.34281855933797,4931,683,0,12,62,68,0,12,0,12,0,12,0,12,0,12,41,67,0,12,0,12,0,12,4402499.78125,9779.23770585638,Beachwood city,04500
139,39035132100,3905440,0,Census Tract 1321,Ohio,Cuyahoga County,4361,469,1559,482,2540,435,0,12,0,12,0,12,0,12,98,128,164,202,35.7,10.36230407753,58.2,7.76283492624506,0,0.27516624627379,0,0.27516624627379,0,0.27516624627379,0,0.27516624627379,2.2,2.92514024378861,3.8,4.61427530778075,4197,511,0,12,98,128,0,12,141,197,0,12,0,12,0,12,23,39,0,12,0,12,0,12,6947600.9609375,11466.0774103082,Bedford city,04878
140,39035132200,3700707,30254,Census Tract 1322,Ohio,Cuyahoga County,3402,396,1494,313,1614,351,0,12,0,12,0,12,0,12,252,245,42,59,43.9,7.64968994504983,47.4,8.71508872104554,0,0.352733686067019,0,0.352733686067019,0,0.352733686067019,0,0.352733686067019,7.4,7.14984281074568,1.2,1.72830976701682,3360,403,0,12,252,245,42,59,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,6593132.1875,17602.69325249,Bedford city,04878
141,39035132301,4353392,48771,Census Tract 1323.01,Ohio,Cuyahoga County,3408,514,1171,210,2013,540,0,12,20,24,0,12,0,12,68,66,136,176,34.4,3.33374787009079,59.1,13.1035772908365,0,0.352112676056338,0.6,0.698641015595783,0,0.352112676056338,0,0.352112676056338,2,1.9130953956847,4,5.1291271715928,3272,514,0,12,68,66,0,12,0,12,0,12,0,12,0,12,7,13,129,176,88,121,41,56,7746837.08984375,20900.0245349051,Bedford city,04878
142,39035132302,1875328,46050,Census Tract 1323.02,Ohio,Cuyahoga County,1872,331,778,258,969,252,0,12,0,12,0,12,7,11,90,86,28,37,41.6,11.6595531962601,51.8,9.87140459188429,0,0.641025641025641,0,0.641025641025641,0,0.641025641025641,0.4,0.583875255210969,4.8,4.51468274952349,1.5,1.95872194187478,1844,326,3,5,87,88,8,14,0,12,0,12,0,12,0,12,0,12,20,33,0,12,20,33,3385877.796875,13240.2299014378,Bedford city,04878
143,39035133103,3345716,0,Census Tract 1331.03,Ohio,Cuyahoga County,3248,407,538,149,2496,365,0,12,34,55,0,12,0,12,104,74,76,131,16.6,4.09102144379002,76.8,5.79283319093994,0,0.369458128078818,1,1.68826161576979,0,0.369458128078818,0,0.369458128078818,3.2,2.24271668777611,2.3,4.0225793352066,3172,355,0,12,104,74,0,12,0,12,0,12,0,12,0,12,0,12,76,131,76,131,0,12,5953853.1171875,10935.9033814696,Bedford Heights city,04920
144,39035133104,3935665,0,Census Tract 1331.04,Ohio,Cuyahoga County,2843,409,571,230,2140,421,0,12,0,12,0,12,0,12,33,43,99,87,20.1,7.55647294013945,75.3,10.1005562158282,0,0.422089342244108,0,0.422089342244108,0,0.422089342244108,0,0.422089342244108,1.2,1.50324036007616,3.5,3.01886422562943,2744,414,12,20,21,38,32,40,0,12,0,12,0,12,0,12,34,53,33,56,33,56,0,12,7003531.046875,11018.8061095375,Bedford Heights city,04920
145,39035134100,1797341,0,Census Tract 1341,Ohio,Cuyahoga County,1463,218,1029,200,263,116,0,12,16,14,0,12,36,71,62,43,57,57,70.3,8.7773668761885,18,7.46272382161034,0,0.820232399179768,1.1,0.942959785483814,0,0.820232399179768,2.5,4.83917037561285,4.2,2.87052791019996,3.9,3.85260723476652,1406,246,0,12,62,43,0,12,0,12,0,12,0,12,0,12,19,20,38,40,38,40,0,12,3195579.3125,8779.33040422534,Berea city,05690
146,39035134203,3829857,0,Census Tract 1342.03,Ohio,Cuyahoga County,3203,293,2502,321,383,264,0,12,127,114,0,12,0,12,59,34,132,95,78.1,7.02690661793152,12,8.16936859116003,0,0.374648766781143,4,3.54063355804625,0,0.374648766781143,0,0.374648766781143,1.8,1.04804556620362,4.1,2.9419134002582,3071,287,10,16,49,32,31,31,0,12,0,12,0,12,0,12,17,25,84,73,29,46,55,59,6807750.01953125,16523.9150704309,Berea city,05690
147,39035134204,2317741,0,Census Tract 1342.04,Ohio,Cuyahoga County,3822,416,3125,374,252,184,0,12,82,56,68,55,0,12,248,143,47,41,81.8,4.06882092131749,6.6,4.76044346712271,0,0.313971742543171,2.1,1.44647271228053,1.8,1.42594776307569,0,0.313971742543171,6.5,3.67423404597048,1.2,1.06435384028838,3775,409,8,14,240,143,8,13,4,11,16,25,0,12,0,12,15,23,4,12,0,12,4,12,4119051.58984375,9446.62106485679,Berea city,05690
148,39035134205,1792336,0,Census Tract 1342.05,Ohio,Cuyahoga County,2304,258,2085,258,84,58,0,12,31,46,0,12,0,12,51,45,53,42,90.5,4.76496378577713,3.6,2.48403560293679,0,0.520833333333333,1.3,1.99083469913657,0,0.520833333333333,0,0.520833333333333,2.2,1.93733256191735,2.3,1.80462518777929,2251,262,0,12,51,45,7,13,25,29,0,12,0,12,0,12,21,29,0,12,0,12,0,12,3184010.80078125,9358.36566156856,Berea city,05690
149,39035134206,2519137,190577,Census Tract 1342.06,Ohio,Cuyahoga County,3445,591,2858,525,237,335,0,12,0,12,0,12,43,66,177,159,130,91,83,5.44856772276924,6.9,9.6523531759366,0,0.34833091436865,0,0.34833091436865,0,0.34833091436865,1.2,1.90381583502625,5.1,4.53043884182297,3.8,2.56095383356512,3315,597,0,12,177,159,108,88,0,12,0,12,0,12,0,12,0,12,22,25,10,15,12,19,4813518.421875,12606.2371551883,Berea city,05690
150,39035134300,2590388,102585,Census Tract 1343,Ohio,Cuyahoga County,4313,536,3232,418,326,150,0,12,158,83,0,12,0,12,379,316,218,151,74.9,2.68340563609467,7.6,3.34860141792823,0,0.278228611175516,3.7,1.86978780214288,0,0.278228611175516,0,0.278228611175516,8.8,7.24484310596686,5.1,3.44423198680691,4095,551,9,14,370,315,46,46,41,52,0,12,8,15,0,12,20,32,103,83,19,25,84,85,4785685.671875,11375.8174960805,Berea city,05690
151,39035135103,3496538,11243,Census Tract 1351.03,Ohio,Cuyahoga County,2444,425,2183,414,22,21,0,12,119,95,0,12,0,12,110,102,10,16,89.3,6.75924646679259,0.9,0.844868444258955,0,0.490998363338789,4.9,3.79373196883626,0,0.490998363338789,0,0.490998363338789,4.5,4.09944048879329,0.4,0.650786442499968,2434,425,80,112,30,31,0,12,0,12,0,12,0,12,0,12,0,12,10,16,10,16,0,12,6227044.53515625,11943.1495541746,Brecksville city,08364
152,39035135104,9956074,83316,Census Tract 1351.04,Ohio,Cuyahoga County,4199,432,3975,443,27,17,6,10,132,108,0,12,0,12,39,35,20,32,94.7,4.05594544503793,0.6,0.3994169476036,0.1,0.237697772779092,3.1,2.55162588739753,0,0.285782329125982,0,0.285782329125982,0.9,0.828036447476371,0.5,0.760509110044652,4179,437,0,12,39,35,0,12,0,12,0,12,0,12,0,12,0,12,20,32,20,32,0,12,17702441.265625,20654.6943451137,Brecksville city,08364
